filename,greedy__generated_easy
2000_0000.hgr,341.0
2000_0001.hgr,337.0
2000_0002.hgr,339.0
2000_0003.hgr,337.0
2000_0004.hgr,346.0
2000_0005.hgr,352.0
2000_0006.hgr,351.0
2000_0007.hgr,339.0
2000_0008.hgr,339.0
2000_0009.hgr,353.0
2000_0010.hgr,354.0
2000_0011.hgr,331.0
2000_0012.hgr,330.0
2000_0013.hgr,334.0
2000_0014.hgr,339.0
2000_0015.hgr,345.0
2000_0016.hgr,349.0
2000_0017.hgr,349.0
2000_0018.hgr,352.0
2000_0019.hgr,337.0
2000_0020.hgr,332.0
2000_0021.hgr,344.0
2000_0022.hgr,334.0
2000_0023.hgr,362.0
2000_0024.hgr,352.0
AVERAGE,343.12
